Total Per Part Category,,Quantity Needed,Total Cost Pre-Tax,Component,Supplier,Link
$69.22,PCB,1,$33.29,Left PCB,JLCPCB,N/A
,,1,$35.93,Right PCB,JLCPCB,N/A
,,,,,,
$33.00,Switches - $0.50/Switch,2,$33.00,Gateron G Blue Pro 3.0 Switches,Amazon,https://www.aliexpress.us/item/3256804371339613.html?spm=a2g0o.productlist.main.2.5c02miDNmiDNWR&algo_pvid=54064ecd-b87d-40da-b51e-c419c43312b6&algo_exp_id=54064ecd-b87d-40da-b51e-c419c43312b6-1&pdp_ext_f=%7B%22order%22%3A%22188%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2125.10%2116.10%21%21%2125.10%2116.10%21%402101e07217600165213328853e437e%2112000034147033002%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afe8a6990%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=pZ7x1hQFomeQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004557654365%7C_p_origin_prod%3A
,,,,,,
$1.98,Fasteners - Total $15,1,$0.99,GSJ Trheaded Heat Set Inserts,Amazon,https://www.aliexpress.us/item/3256804189121253.html?spm=a2g0o.productlist.main.4.2956h3WPh3WPrq&algo_pvid=4410168d-badc-4c33-adcf-b2b48426b218&algo_exp_id=4410168d-badc-4c33-adcf-b2b48426b218-33&pdp_ext_f=%7B%22order%22%3A%2276%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.44%210.99%21%21%215.44%210.99%21%402101c5b217600162299813750e49ff%2112000028965136271%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afe8a6990%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=XurZ0lSqG8yI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004375436005%7C_p_origin_prod%3A
,,1,$0.99,M3 Button Head Socket Cap Bolts,Amazon,https://www.aliexpress.us/item/3256806973435795.html?spm=a2g0o.productlist.main.1.51a047efPPLG35&algo_pvid=91fe7f1f-c1d1-4e7b-ab3b-a89d3bcc659c&algo_exp_id=91fe7f1f-c1d1-4e7b-ab3b-a89d3bcc659c-0&pdp_ext_f=%7B%22order%22%3A%223123%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.54%210.99%21%21%215.54%210.99%21%402101eac917600163352808743eaca7%2112000039655872513%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afe8a6990%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=M00P6guE1QeF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007159750547%7C_p_origin_prod%3A
,,,,,,
$5.86,Keycaps - $25,1,$4.87,XVX Keycaps 133 Keys Cherry Profile,Amazon,https://www.aliexpress.us/item/3256808719614965.html?spm=a2g0o.productlist.main.5.6f52YHLlYHLl9A&algo_pvid=f491b2bc-c26b-49a2-80c5-61ce9c9a9dee&algo_exp_id=f491b2bc-c26b-49a2-80c5-61ce9c9a9dee-4&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.01%214.87%21%21%21156.19%2134.52%21%402101c80017600166828304758e5d27%2112000049129414115%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afe8a6990%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=k3FBeunB8O0r&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008905929717%7C_p_origin_prod%3A
,,1,$0.99,24 Pc DSA Profile 1u keycaps,Amazon,https://www.aliexpress.us/item/3256807298018561.html?spm=a2g0o.productlist.main.1.59cbD9A3D9A3kl&algo_pvid=894942b7-f1fc-45e9-966a-94db7645f21e&algo_exp_id=894942b7-f1fc-45e9-966a-94db7645f21e-0&pdp_ext_f=%7B%22order%22%3A%2270%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.22%210.99%21%21%2122.88%217.05%21%402101effb17600167483667390ef4cc%2112000040960497266%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afe8a6990%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=flKPq05LpNKM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007484333313%7C_p_origin_prod%3A
