Total Per Part Category,,Quantity Needed,Total Cost Pre-Tax,Component,Supplier,Link
$181.08,PCB,1,$83.34,Left PCB,PCBWay,N/A
,,1,$97.74,Right PCB,PCBWay,N/A
,,,,,,
$49.98,Switches - $0.50/Switch,2,$49.98,Gateron G Blue Pro 3.0 Switches,Amazon,https://www.amazon.com/Gateron-Silent-White-Pro-3-0/dp/B0CKTK6SWR/ref=sr_1_1?crid=ZGP4DR3VLQM&dib=eyJ2IjoiMSJ9.NfaI8YO985FtVLu7p-Tm9Pi6qqjEaPMGHzvdEBArqmO2MlDT95IZvxphh0Rth-YM5rruZDGYC_DNyPPu6Kq19QTTK3oBU3-uJhkOfqqYrscsFXcX4GELcPtB_5HG9KAPrc5nNhr1tVBFtD4M6nNKL3r35S8-eAIUW_4bWq-z4W6BBcfLFoyomj70d7GyrREU--b4WiwjYhgggIamCyFZ_59LUeD1k05F1R0o41E3wlo.rYc9KZBELt9EnqLyB3bLxe8MpyfAG8t3iUrrBv9t_m4&dib_tag=se&keywords=gateron%2Bg%2Bpro%2Bwhite&qid=1741213723&sprefix=gateron%2Bg%2Bpro%2Bwhit%2Caps%2C141&sr=8-1&th=1
,,,,,,
$15.96,Fasteners - Total $15,1,$6.97,GSJ Trheaded Heat Set Inserts,Amazon,https://www.amazon.com/Threaded-Inserts-Soldering-Printed-Materials/dp/B0D7M3LJDL/ref=sr_1_3?crid=2WRZN2C4K47PT&dib=eyJ2IjoiMSJ9.lAw3FIw0qEymrapS1tQSMEb9dG7tqWZi0T3XCqU2fD-xdgrNVvPsAiZkltES6NGBpi4daKASOjXUCy6RtvAqw8N6X_c2-iFZVAhTZvkyRKMDYc5hdSfAALrhQtMPMnqjAi9uq7mO3T3x3lsO28-T1PcWlP1taRe8yYKpi7aoxYCbd8q-jnUdDchG4pVCaO6GfvqlMsb8Ra0LfLdbvXYfI3iWZHSxY_VdNTjOqX_vps4.Zy_k8RGPBd2Emw7Xw_TdzMnL581_CTDNNaoUkOHHMSg&dib_tag=se&keywords=m3%2Bheat%2Bset%2Binserts&qid=1741889494&sprefix=m3%2Bheat%2Bset%2Binsert%2Caps%2C153&sr=8-3&th=1
,,1,$8.99,M3 Button Head Socket Cap Bolts,Amazon,https://www.amazon.com/WZHUIDA-460Pcs-Button-Socket-Assortment/dp/B0CLLC3G3S/ref=sr_1_1_sspa?crid=1LSBYI8WTLJLN&dib=eyJ2IjoiMSJ9.jUUD7MVjIvjNy_amgyHU6gK_of6HBHiwfOZEIWrcshWLonU2GPRhLQzX5phXgb7m1T8DKsJdNPcF8cUCega3RAeiTcaLZBHbrCW-ewEkG3H9oWRiO6eHwat9AtXOF5QwJu5TFCU5O6-2nHr7fTmBydGfD8IvGpAwedvVWq-fq5ShOuco8U47L0NeybvoDPZDwoW4CiKgWUxIcoWNIsoxj-ZbfACedY6t97yaZUE8DjE.D3EmWr8oyeCakDx7REH2FGAHVaJ4glFoRWQjzvHubVs&dib_tag=se&keywords=m3%2B10mm%2Bbutton%2Bhead&qid=1749500414&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
,,,,,,
$25.67,Keycaps - $25,1,$16.68,XVX Keycaps 133 Keys Cherry Profile,Amazon,https://www.amazon.com/OHY-Through-Compatible-Mechanical-Keyboard-Milk/dp/B0DWFC4Z3N/ref=sr_1_27_sspa?dib=eyJ2IjoiMSJ9.ncO2oTXl_fTgSf0igdOEQvEQmXtCHBOHR25GnuRo2mPqSYeJuvcG5RUwgfhvxaT_ex3vQuHqMeWd0Nm7xoGnWY2FXiKS-QQ7vcfjwO7fvFvJ_5aUuVxcOXN7pEmcJ_P2m3N40FfM4sWXhY1muPErkmZ_imz1qa54_EdUf22-0dMOc6G6devKye9vWB-5Hw2Ier0hzvr-JRCM0qjdDjKoBv8SFY8Vi8N28CBLX5PKjtA.wFrwftmheUYIMCwpStGNQ2Rx3GekqTl74WNV5jyajmo&dib_tag=se&keywords=100%2Bkeycaps&qid=1749506049&sr=8-27-spons&xpid=uBM5n5x9azOTl&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
,,1,$8.99,24 Pc DSA Profile 1u keycaps,Amazon,https://www.amazon.com/Mechkeeb-Profile-Switches-Keyboard-Replacement/dp/B0BWDR7LQQ/ref=sr_1_4?crid=1HUJR0D8EQLAY&dib=eyJ2IjoiMSJ9.e_IoalIWNFatQ7OvszqUcHIlgKhWG9dIf9Qe17Y9nv6sjGkJeoWawGTqPU0CcEPbY3gO50vHw0LZWCd2VGD2CPTsxV_LWdb4o2c7akGnNV0E7vy1ovTniWL3EkHzmhwq7WJaYWYg-G-qo9FI6T4m0rSMCq39kYzDTuwwVntaV5j7KpHoW01CrOmjtXz2xp4Ut-bSV_HkqOijOUxSXopJotuvVV9qbDztC2hrQqYufm0.HjRRpJNphEP3AiDnYc6rpIrfCvFe44vLf7JwusMSbsY&dib_tag=se&keywords=1u%2Bkeycaps&qid=1749506127&sprefix=1u%2Bkeycaps%2Caps%2C189&sr=8-4&th=1
,,,,,,
$16.98,Stabilizers - $20,1,$16.98,Durock Stabilizers V3 80% Kit,Amazon,https://www.amazon.com/dp/B0B2RVN19F/ref=sspa_dk_detail_4?pd_rd_i=B0B2RVN19F&pd_rd_w=qzXiy&content-id=amzn1.sym.f2f1cf8f-cab4-44dc-82ba-0ca811fb90cc&pf_rd_p=f2f1cf8f-cab4-44dc-82ba-0ca811fb90cc&pf_rd_r=3NJ3PNKWDVGR8FDPVA9D&pd_rd_wg=ISiZ8&pd_rd_r=e1662b07-1dce-4188-a005-f47fc973ebf2&s=electronics&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1
,,,,,,
$20.96 Including Shipping,Misc Electronics - $15,4,$7.90,Alpsalpine EC11E Rotary Encoder,LCSC,https://lcsc.com/product-detail/Rotary-Encoders_ALPSALPINE-EC11E18244AU_C202365.html
,,150,$1.35,LGE 1N4148 Diodes,LCSC,https://lcsc.com/product-detail/Switching-Diodes_LGE-1N4148_C402212.html?s_z=n_through%20hole%201n4148
